epoch,loss,sparse_categorical_accuracy,sparse_mean_io_u,val_loss,val_sparse_categorical_accuracy,val_sparse_mean_io_u
0,0.2239510864019394,0.4401736855506897,0.28122344613075256,0.23204682767391205,0.8000196814537048,0.4791366755962372
1,0.1740206927061081,0.6165628433227539,0.3808436095714569,0.17916011810302734,0.8156654238700867,0.49301543831825256
2,0.13506056368350983,0.7250250577926636,0.45235705375671387,0.13870324194431305,0.8080066442489624,0.4896000325679779
3,0.1097106784582138,0.7617521286010742,0.476835161447525,0.09483258426189423,0.8244022727012634,0.5029310584068298
4,0.09715919196605682,0.7811058759689331,0.48023149371147156,0.08693493902683258,0.8246006369590759,0.5090695023536682
5,0.08729825168848038,0.7892326712608337,0.48620545864105225,0.17301616072654724,0.7573780417442322,0.6443696022033691
6,0.08287586271762848,0.7904570698738098,0.4907327890396118,0.11188844591379166,0.8017463088035583,0.4852602481842041
7,0.07383710145950317,0.8053893446922302,0.506183385848999,0.2675221264362335,0.6412476897239685,0.33055579662323
8,0.07130485773086548,0.7985094785690308,0.5069331526756287,0.09942978620529175,0.8033711314201355,0.4856000244617462
9,0.06846237182617188,0.7979910969734192,0.5110686421394348,0.07276633381843567,0.8245086073875427,0.5046663880348206
10,0.06889127939939499,0.8017032146453857,0.5035505890846252,0.09059610217809677,0.8096335530281067,0.4947544038295746
11,0.05662600323557854,0.8146070241928101,0.5351181626319885,0.06613429635763168,0.8258692026138306,0.5159937739372253
12,0.058471474796533585,0.8114217519760132,0.5293253064155579,0.06681712716817856,0.8251708745956421,0.7624114751815796
13,0.05425563082098961,0.8183611631393433,0.5377181172370911,0.06957001984119415,0.8216221928596497,0.766013503074646
14,0.05141444131731987,0.8199160695075989,0.5432024002075195,0.06887506693601608,0.8234038352966309,0.7591034173965454
15,0.05250846594572067,0.8151306509971619,0.5419029593467712,0.07957664132118225,0.809873104095459,0.7447737455368042
16,0.04690050706267357,0.8164835572242737,0.5547566413879395,0.06548967957496643,0.8237025141716003,0.7696472406387329
17,0.04662368446588516,0.8218303918838501,0.5558937191963196,0.06564018875360489,0.8238430023193359,0.7695564031600952
18,0.046256981790065765,0.8227752447128296,0.555575430393219,0.06852522492408752,0.8224761486053467,0.768174409866333
19,0.04643585905432701,0.82183438539505,0.5547786355018616,0.0654647946357727,0.8243116140365601,0.7679585218429565
20,0.044536564499139786,0.8241166472434998,0.5618923306465149,0.06996157765388489,0.8216248154640198,0.7659151554107666
21,0.044480983167886734,0.8248620629310608,0.5604193806648254,0.06927009671926498,0.8215357661247253,0.7668132781982422
22,0.0453319326043129,0.8246385455131531,0.559664785861969,0.07025832682847977,0.8209432363510132,0.7649009227752686
